stimp,skill,slope_pct,clock,length_ft,rollout_m,n_trials,n_holed,n_runaway,n_off_green,n_miss,n_kept,axis_x,axis_y
10,mid,3,6,15,0.30,8000,869,0,0,7131,1513,-1.0000,0.0000
10,mid,3,12,15,0.30,8000,1393,0,0,6607,1511,1.0000,0.0000
10,mid,4,3,15,0.20,8000,926,0,0,7074,1508,0.6884,-0.7253
10,mid,4,6,15,0.20,8000,840,0,0,7160,1512,-1.0000,0.0000
10,mid,4,12,15,0.20,8000,1538,0,0,6462,1507,1.0000,0.0000
10,mid,5,3,15,0.20,8000,887,0,0,7113,1508,0.9004,-0.4351
10,mid,5,6,15,0.30,8000,818,0,0,7182,1514,-1.0000,0.0000
10,mid,5,12,15,0.30,8000,2073,0,0,5927,1507,1.0000,0.0000
10,mid,0,12,20,0.10,8000,549,0,0,7451,1507,1.0000,0.0000
10,mid,1,3,20,0.10,8000,523,0,0,7477,1509,0.2051,-0.9787
10,mid,1,6,20,0.10,8000,512,0,0,7488,1512,-1.0000,0.0000
10,mid,1,12,20,0.10,8000,528,0,0,7472,1509,1.0000,0.0000
10,mid,2,3,20,0.20,8000,574,0,0,7426,1512,0.3393,-0.9407
10,mid,2,6,20,0.20,8000,514,0,0,7486,1508,-1.0000,0.0000
10,mid,2,12,20,0.10,8000,587,0,0,7413,1511,1.0000,0.0000
10,mid,3,3,20,0.20,8000,584,0,0,7416,1508,0.5336,-0.8457
10,mid,3,6,20,0.10,8000,455,0,0,7545,1508,-1.0000,0.0000
10,mid,3,12,20,0.10,8000,731,0,0,7269,1507,1.0000,0.0000
10,mid,4,3,20,0.20,8000,574,0,0,7426,1510,0.7473,-0.6645
10,mid,4,6,20,0.20,8000,414,0,0,7586,1513,-1.0000,0.0000
10,mid,4,12,20,0.20,8000,917,0,0,7083,1513,1.0000,0.0000
10,mid,5,3,20,0.10,8000,464,0,0,7536,1512,0.9778,-0.2094
10,mid,5,6,20,0.20,8000,432,0,0,7568,1511,-1.0000,0.0000
10,mid,5,12,20,0.10,8000,1050,0,0,6950,1511,1.0000,0.0000
10,high,0,12,10,0.30,8000,1654,0,0,6346,1513,1.0000,0.0000
10,high,1,3,10,0.20,8000,1578,0,0,6422,1512,0.1249,-0.9922
10,high,1,6,10,0.30,8000,1535,0,0,6465,1510,-1.0000,0.0000
10,high,1,12,10,0.20,8000,1727,0,0,6273,1513,1.0000,0.0000
10,high,2,3,10,0.20,8000,1554,0,0,6446,1508,0.2624,-0.9649
10,high,2,6,10,0.20,8000,1427,0,0,6573,1511,-1.0000,0.0000
10,high,2,12,10,0.30,8000,1904,0,0,6096,1511,1.0000,0.0000
10,high,3,3,10,0.30,8000,1619,0,0,6381,1512,0.3510,-0.9364
10,high,3,6,10,0.20,8000,1416,0,0,6584,1512,-1.0000,0.0000
10,high,3,12,10,0.30,8000,2133,0,0,5867,1507,1.0000,0.0000
10,high,4,3,10,0.30,8000,1544,0,0,6456,1511,0.5160,-0.8566
10,high,4,6,10,0.30,8000,1384,0,0,6616,1510,-1.0000,0.0000
10,high,4,12,10,0.30,8000,2506,0,0,5494,1511,1.0000,0.0000
10,high,5,3,10,0.30,8000,1469,0,0,6531,1515,0.7368,-0.6761
10,high,5,6,10,0.30,8000,1278,0,0,6722,1509,-1.0000,0.0000
10,high,5,12,10,0.30,8000,3071,0,0,4929,1506,1.0000,0.0000
10,high,0,12,15,0.20,8000,763,0,0,7237,1511,1.0000,0.0000
10,high,1,3,15,0.10,8000,669,0,0,7331,1513,0.1840,-0.9829
10,high,1,6,15,0.10,8000,683,0,0,7317,1511,-1.0000,0.0000
10,high,1,12,15,0.20,8000,820,0,0,7180,1512,1.0000,0.0000
10,high,2,3,15,0.10,8000,686,0,0,7314,1512,0.3853,-0.9228
10,high,2,6,15,0.20,8000,640,0,0,7360,1513,-1.0000,0.0000
10,high,2,12,15,0.10,8000,845,0,0,7155,1510,1.0000,0.0000
10,high,3,3,15,0.10,8000,671,0,0,7329,1511,0.5955,-0.8034
10,high,3,6,15,0.20,8000,629,0,0,7371,1513,-1.0000,0.0000
10,high,3,12,15,0.10,8000,900,0,0,7100,1512,1.0000,0.0000
10,high,4,3,15,0.20,8000,759,0,0,7241,1512,0.6884,-0.7253
10,high,4,6,15,0.20,8000,628,0,0,7372,1511,-1.0000,0.0000
10,high,4,12,15,0.10,8000,1083,0,0,6917,1509,1.0000,0.0000
10,high,5,3,15,0.20,8000,726,0,0,7274,1508,0.9004,-0.4351
10,high,5,6,15,0.20,8000,574,0,0,7426,1511,-1.0000,0.0000
10,high,5,12,15,0.20,8000,1490,0,0,6510,1509,1.0000,0.0000
10,high,0,12,20,0.00,8000,388,0,0,7612,1507,1.0000,0.0000
10,high,1,3,20,0.00,8000,341,0,0,7659,1508,0.4222,-0.9065
10,high,1,6,20,0.00,8000,350,0,0,7650,1512,-1.0000,0.0000
10,high,1,12,20,0.00,8000,364,0,0,7636,1510,1.0000,0.0000
10,high,2,3,20,0.10,8000,391,0,0,7609,1511,0.4184,-0.9083
10,high,2,6,20,0.10,8000,338,0,0,7662,1510,-1.0000,0.0000
10,high,2,12,20,0.00,8000,377,0,0,7623,1512,1.0000,0.0000
