stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,scratch,0,12,15,0.40,true,0.19362,0.00442,0.01842,1.82483,0.00454,0.4870,0.1494,0.4877,0.00507,0.00179
10,scratch,0,12,15,0.50,true,0.19600,0.00444,0.02839,1.83245,0.00463,0.5646,0.0948,0.5687,0.01269,0.00243
10,scratch,0,12,15,0.60,true,0.19312,0.00441,0.04168,1.84865,0.00470,0.6476,0.0596,0.6553,0.02889,0.00277
10,scratch,0,12,15,0.70,true,0.18812,0.00437,0.05811,1.87012,0.00476,0.7358,0.0373,0.7465,0.05036,0.00309
10,scratch,0,12,15,0.80,true,0.18175,0.00431,0.07783,1.89627,0.00482,0.8259,0.0209,0.8409,0.07652,0.00333
10,scratch,0,12,15,0.90,true,0.17438,0.00424,0.10026,1.92615,0.00488,0.9197,0.0118,0.9370,0.10639,0.00357
10,scratch,0,12,15,1.00,true,0.16700,0.00417,0.12501,1.95838,0.00494,1.0147,0.0056,1.0343,0.13862,0.00377
10,scratch,0,12,15,1.10,true,0.15775,0.00408,0.15198,1.99471,0.00498,1.1136,0.0036,1.1326,0.17495,0.00398
10,scratch,0,12,15,1.20,true,0.14750,0.00396,0.18064,2.03376,0.00499,1.2122,0.0018,1.2315,0.21401,0.00416
10,scratch,0,12,20,0.00,true,0.09275,0.00324,0.01157,1.91884,0.00330,0.3362,0.5342,0.4247,0.01239,0.00213
10,scratch,0,12,20,0.10,true,0.10287,0.00340,0.01325,1.91040,0.00347,0.3843,0.4434,0.4384,0.00395,0.00155
10,scratch,0,12,20,0.20,true,0.11088,0.00351,0.01729,1.90645,0.00361,0.4351,0.3555,0.4675,0.00000,0.00000
10,scratch,0,12,20,0.30,true,0.11550,0.00357,0.02390,1.90845,0.00372,0.4924,0.2780,0.5109,0.00200,0.00147
10,scratch,0,12,20,0.40,true,0.11912,0.00362,0.03320,1.91415,0.00382,0.5547,0.2099,0.5676,0.00770,0.00205
10,scratch,0,12,20,0.50,true,0.11975,0.00363,0.04540,1.92576,0.00391,0.6222,0.1535,0.6347,0.01931,0.00247
10,scratch,0,12,20,0.60,true,0.12025,0.00364,0.06033,1.94023,0.00401,0.6965,0.1121,0.7098,0.03379,0.00273
10,scratch,0,12,20,0.70,true,0.11762,0.00360,0.07826,1.96084,0.00407,0.7741,0.0773,0.7922,0.05440,0.00301
10,scratch,0,12,20,0.80,true,0.11475,0.00356,0.09851,1.98404,0.00415,0.8549,0.0513,0.8787,0.07760,0.00321
10,scratch,0,12,20,0.90,true,0.11088,0.00351,0.12112,2.01062,0.00421,0.9424,0.0349,0.9690,0.10417,0.00339
10,scratch,0,12,20,1.00,true,0.10675,0.00345,0.14567,2.03941,0.00427,1.0325,0.0227,1.0622,0.13296,0.00358
10,scratch,0,12,20,1.10,true,0.10250,0.00339,0.17171,2.06983,0.00432,1.1260,0.0150,1.1573,0.16338,0.00374
10,scratch,0,12,20,1.20,true,0.09675,0.00331,0.19937,2.10339,0.00434,1.2227,0.0101,1.2547,0.19695,0.00392
10,mid,0,12,10,0.00,true,0.18538,0.00434,0.00126,1.81589,0.00435,0.1944,0.5958,0.2381,0.07206,0.00412
10,mid,0,12,10,0.10,true,0.22387,0.00466,0.00217,1.77830,0.00467,0.2410,0.4266,0.2547,0.03447,0.00334
10,mid,0,12,10,0.20,true,0.25300,0.00486,0.00484,1.75187,0.00490,0.2950,0.2676,0.2996,0.00804,0.00229
10,mid,0,12,10,0.30,true,0.26650,0.00494,0.01027,1.74383,0.00502,0.3622,0.1505,0.3678,0.00000,0.00000
10,mid,0,12,10,0.40,true,0.26475,0.00493,0.01926,1.75462,0.00508,0.4397,0.0801,0.4487,0.01079,0.00196
10,mid,0,12,10,0.50,true,0.25750,0.00489,0.03265,1.77535,0.00514,0.5248,0.0399,0.5379,0.03152,0.00259
10,mid,0,12,10,0.60,true,0.24775,0.00483,0.05073,1.80330,0.00521,0.6132,0.0151,0.6315,0.05947,0.00299
10,mid,0,12,10,0.70,true,0.23625,0.00475,0.07343,1.83767,0.00529,0.7089,0.0070,0.7274,0.09385,0.00330
10,mid,0,12,10,0.80,true,0.22375,0.00466,0.10039,1.87735,0.00537,0.8075,0.0040,0.8251,0.13352,0.00360
10,mid,0,12,10,0.90,true,0.21350,0.00458,0.13055,1.91803,0.00547,0.9064,0.0013,0.9244,0.17420,0.00386
10,mid,0,12,10,1.00,true,0.20062,0.00448,0.16347,1.96415,0.00554,1.0065,0.0003,1.0241,0.22032,0.00412
10,mid,0,12,10,1.10,true,0.18912,0.00438,0.19734,2.00989,0.00560,1.1063,0.0000,1.1233,0.26607,0.00433
10,mid,0,12,10,1.20,true,0.17913,0.00429,0.23155,2.05453,0.00566,1.2063,0.0000,1.2228,0.31071,0.00452
10,mid,0,12,15,0.00,true,0.09838,0.00333,0.01127,1.91295,0.00339,0.2827,0.5523,0.3639,0.01855,0.00256
10,mid,0,12,15,0.10,true,0.11163,0.00352,0.01371,1.90216,0.00360,0.3274,0.4369,0.3789,0.00775,0.00182
10,mid,0,12,15,0.20,true,0.12500,0.00370,0.01929,1.89441,0.00381,0.3809,0.3323,0.4140,0.00000,0.00000
10,mid,0,12,15,0.30,true,0.13387,0.00381,0.02836,1.89466,0.00399,0.4406,0.2426,0.4647,0.00025,0.00169
10,mid,0,12,15,0.40,true,0.13850,0.00386,0.04118,1.90296,0.00413,0.5068,0.1699,0.5288,0.00855,0.00226
10,mid,0,12,15,0.50,true,0.13912,0.00387,0.05790,1.91918,0.00424,0.5784,0.1146,0.6024,0.02477,0.00264
10,mid,0,12,15,0.60,true,0.13875,0.00386,0.07865,1.94046,0.00437,0.6590,0.0771,0.6849,0.04606,0.00297
10,mid,0,12,15,0.70,true,0.13437,0.00381,0.10298,1.96939,0.00446,0.7423,0.0498,0.7715,0.07498,0.00324
10,mid,0,12,15,0.80,true,0.12912,0.00375,0.13031,2.00222,0.00454,0.8308,0.0329,0.8618,0.10781,0.00348
10,mid,0,12,15,0.90,true,0.12275,0.00367,0.16026,2.03886,0.00460,0.9219,0.0199,0.9558,0.14445,0.00372
10,mid,0,12,15,1.00,true,0.11663,0.00359,0.19198,2.07707,0.00466,1.0157,0.0122,1.0512,0.18266,0.00392
10,mid,0,12,15,1.10,true,0.10850,0.00348,0.22522,2.11886,0.00467,1.1106,0.0067,1.1474,0.22446,0.00410
10,mid,0,12,15,1.20,true,0.10275,0.00339,0.25836,2.15822,0.00470,1.2072,0.0039,1.2443,0.26381,0.00422
10,mid,0,12,20,0.00,true,0.06275,0.00271,0.03630,1.97377,0.00291,0.3658,0.5255,0.5048,0.00235,0.00126
10,mid,0,12,20,0.10,true,0.06863,0.00283,0.03980,1.97142,0.00305,0.4125,0.4417,0.5199,0.00000,0.00000
10,mid,0,12,20,0.20,true,0.07425,0.00293,0.04710,1.97316,0.00321,0.4655,0.3648,0.5492,0.00174,0.00128
10,mid,0,12,20,0.30,true,0.07712,0.00298,0.05818,1.98145,0.00333,0.5197,0.2912,0.5903,0.01003,0.00175
10,mid,0,12,20,0.40,true,0.07900,0.00302,0.07300,1.99453,0.00346,0.5828,0.2322,0.6423,0.02311,0.00209
10,mid,0,12,20,0.50,true,0.08100,0.00305,0.09115,2.01084,0.00360,0.6472,0.1775,0.7045,0.03942,0.00241
10,mid,0,12,20,0.60,true,0.08088,0.00305,0.11256,2.03259,0.00372,0.7185,0.1349,0.7748,0.06116,0.00272
10,mid,0,12,20,0.70,true,0.07975,0.00303,0.13672,2.05812,0.00383,0.7921,0.0985,0.8516,0.08670,0.00299
10,mid,0,12,20,0.80,true,0.07825,0.00300,0.16328,2.08648,0.00393,0.8719,0.0715,0.9340,0.11506,0.00323
10,mid,0,12,20,0.90,true,0.07437,0.00293,0.19159,2.11902,0.00398,0.9520,0.0489,1.0191,0.14760,0.00341
10,mid,0,12,20,1.00,true,0.07000,0.00285,0.22144,2.15364,0.00401,1.0391,0.0349,1.1075,0.18222,0.00358
10,mid,0,12,20,1.10,true,0.06788,0.00281,0.25197,2.18675,0.00408,1.1287,0.0236,1.1996,0.21532,0.00375
10,mid,0,12,20,1.20,true,0.06450,0.00275,0.28294,2.22159,0.00410,1.2210,0.0166,1.2925,0.25017,0.00386
10,high,0,12,10,0.00,true,0.14775,0.00397,0.00487,1.85718,0.00399,0.2125,0.5792,0.2677,0.04094,0.00325
10,high,0,12,10,0.10,true,0.17638,0.00426,0.00702,1.83074,0.00431,0.2582,0.4254,0.2849,0.01450,0.00230
10,high,0,12,10,0.20,true,0.19675,0.00444,0.01281,1.81624,0.00453,0.3122,0.2842,0.3271,0.00000,0.00000
10,high,0,12,10,0.30,true,0.20675,0.00453,0.02300,1.81657,0.00469,0.3768,0.1762,0.3896,0.00033,0.00206
10,high,0,12,10,0.40,true,0.20750,0.00453,0.03834,1.83139,0.00482,0.4496,0.1002,0.4662,0.01515,0.00272
10,high,0,12,10,0.50,true,0.20312,0.00450,0.05938,1.85712,0.00493,0.5322,0.0547,0.5526,0.04088,0.00316
10,high,0,12,10,0.60,true,0.19587,0.00444,0.08554,1.89096,0.00505,0.6201,0.0289,0.6437,0.07472,0.00350
10,high,0,12,10,0.70,true,0.18663,0.00436,0.11642,1.93164,0.00515,0.7117,0.0129,0.7385,0.11541,0.00380
10,high,0,12,10,0.80,true,0.17813,0.00428,0.15071,1.97509,0.00527,0.8081,0.0065,0.8351,0.15885,0.00406
10,high,0,12,10,0.90,true,0.16800,0.00418,0.18730,2.02258,0.00535,0.9058,0.0042,0.9317,0.20634,0.00429
