stimp,skill,slope_pct,clock,length_ft,rollout_m,n_trials,n_holed,n_runaway,n_off_green,n_miss,n_kept,ball_x_m,ball_y_m,axis_x,axis_y
10,tour,2,3,70,0.00,10000,118,0,0,9882,1511,0.000,21.336,0.7958,-0.6056
10,tour,2,6,70,0.00,10000,69,0,0,9931,1510,21.336,0.000,-1.0000,0.0000
10,tour,2,12,70,0.00,10000,116,0,0,9884,1511,-21.336,0.000,1.0000,0.0000
10,tour,3,3,70,0.00,10000,117,0,0,9883,1511,0.000,21.336,0.9693,-0.2460
10,tour,3,6,70,0.10,10000,75,0,0,9925,1512,21.336,0.000,-1.0000,0.0000
10,tour,3,12,70,0.00,10000,158,0,0,9842,1511,-21.336,0.000,1.0000,0.0000
10,tour,4,3,70,0.00,10000,131,0,0,9869,1510,0.000,21.336,0.9980,-0.0638
10,tour,4,6,70,0.10,10000,82,0,0,9918,1511,21.336,0.000,-1.0000,0.0000
10,tour,4,12,70,0.00,10000,196,0,0,9804,1513,-21.336,0.000,1.0000,0.0000
10,tour,5,3,70,0.00,10000,116,0,0,9884,1512,0.000,21.336,1.0000,-0.0065
10,tour,5,6,70,0.10,10000,49,0,0,9951,1516,21.336,0.000,-1.0000,0.0000
10,tour,5,12,70,0.00,10000,224,0,0,9776,1511,-21.336,0.000,1.0000,0.0000
10,tour,0,12,80,0.00,10000,62,0,0,9938,1510,-24.384,0.000,1.0000,0.0000
10,tour,1,3,80,0.00,10000,72,0,0,9928,1514,0.000,24.384,0.4675,-0.8840
10,tour,1,6,80,0.00,10000,61,0,0,9939,1508,24.384,0.000,-1.0000,0.0000
10,tour,1,12,80,0.00,10000,92,0,0,9908,1510,-24.384,0.000,1.0000,0.0000
10,tour,2,3,80,0.00,10000,75,0,0,9925,1508,0.000,24.384,0.8348,-0.5506
10,tour,2,6,80,0.00,10000,52,0,0,9948,1514,24.384,0.000,-1.0000,0.0000
10,tour,2,12,80,0.00,10000,79,0,0,9921,1512,-24.384,0.000,1.0000,0.0000
10,tour,3,3,80,0.00,10000,96,0,0,9904,1512,0.000,24.384,0.9717,-0.2363
10,tour,3,6,80,0.20,10000,51,0,0,9949,1510,24.384,0.000,-1.0000,0.0000
10,tour,3,12,80,0.00,10000,103,0,0,9897,1511,-24.384,0.000,1.0000,0.0000
10,tour,4,3,80,0.00,10000,83,0,0,9917,1512,0.000,24.384,0.9982,-0.0596
10,tour,4,6,80,0.10,10000,51,0,0,9949,1512,24.384,0.000,-1.0000,0.0000
10,tour,4,12,80,0.00,10000,148,0,0,9852,1509,-24.384,0.000,1.0000,0.0000
10,tour,5,3,80,0.00,10000,107,0,0,9893,1513,0.000,24.384,1.0000,-0.0058
10,tour,5,6,80,0.10,10000,47,0,0,9953,1509,24.384,0.000,-1.0000,0.0000
10,tour,5,12,80,0.00,10000,181,0,0,9819,1513,-24.384,0.000,1.0000,0.0000
10,tour,0,12,90,0.00,10000,61,0,0,9939,1510,-27.432,0.000,1.0000,0.0000
10,tour,1,3,90,0.00,10000,50,0,0,9950,1505,0.000,27.432,0.4723,-0.8814
10,tour,1,6,90,0.00,10000,41,0,0,9959,1511,27.432,0.000,-1.0000,0.0000
10,tour,1,12,90,0.00,10000,44,0,0,9956,1515,-27.432,0.000,1.0000,0.0000
10,tour,2,3,90,0.00,10000,66,0,0,9934,1513,0.000,27.432,0.8063,-0.5915
10,tour,2,6,90,0.00,10000,34,0,0,9966,1510,27.432,0.000,-1.0000,0.0000
10,tour,2,12,90,0.00,10000,70,0,0,9930,1512,-27.432,0.000,1.0000,0.0000
10,tour,3,3,90,0.00,10000,70,0,0,9930,1510,0.000,27.432,0.9627,-0.2706
10,tour,3,6,90,0.00,10000,32,0,0,9968,1514,27.432,0.000,-1.0000,0.0000
10,tour,3,12,90,0.00,10000,74,0,0,9926,1514,-27.432,0.000,1.0000,0.0000
10,tour,4,3,90,0.00,10000,57,0,0,9943,1510,0.000,27.432,0.9984,-0.0561
10,tour,4,6,90,0.00,10000,36,0,0,9964,1509,27.432,0.000,-1.0000,0.0000
10,tour,4,12,90,0.00,10000,113,0,0,9887,1509,-27.432,0.000,1.0000,0.0000
10,tour,5,3,90,0.00,10000,75,0,0,9925,1512,0.000,27.432,1.0000,-0.0052
10,tour,5,6,90,0.10,10000,38,0,0,9962,1509,27.432,0.000,-1.0000,0.0000
10,tour,5,12,90,0.00,10000,150,0,0,9850,1519,-27.432,0.000,1.0000,0.0000
10,tour,0,12,100,0.00,10000,43,0,0,9957,1511,-30.480,0.000,1.0000,0.0000
10,tour,1,3,100,0.00,10000,46,0,0,9954,1512,0.000,30.480,0.4743,-0.8804
10,tour,1,6,100,0.00,10000,35,0,0,9965,1512,30.480,0.000,-1.0000,0.0000
10,tour,1,12,100,0.00,10000,61,0,0,9939,1510,-30.480,0.000,1.0000,0.0000
10,tour,2,3,100,0.00,10000,31,0,0,9969,1512,0.000,30.480,0.8112,-0.5847
10,tour,2,6,100,0.00,10000,30,0,0,9970,1510,30.480,0.000,-1.0000,0.0000
10,tour,2,12,100,0.00,10000,75,0,0,9925,1512,-30.480,0.000,1.0000,0.0000
10,tour,3,3,100,0.00,10000,45,0,0,9955,1515,0.000,30.480,0.9751,-0.2220
10,tour,3,6,100,0.00,10000,28,0,0,9972,1513,30.480,0.000,-1.0000,0.0000
10,tour,3,12,100,0.00,10000,66,0,0,9934,1511,-30.480,0.000,1.0000,0.0000
10,tour,4,3,100,0.00,10000,40,0,0,9960,1515,0.000,30.480,0.9986,-0.0534
10,tour,4,6,100,0.00,10000,23,0,0,9977,1515,30.480,0.000,-1.0000,0.0000
10,tour,4,12,100,0.00,10000,81,0,0,9919,1510,-30.480,0.000,1.0000,0.0000
10,tour,5,3,100,0.00,10000,60,0,0,9940,1511,0.000,30.480,1.0000,-0.0047
10,tour,5,6,100,0.10,10000,22,0,0,9978,1508,30.480,0.000,-1.0000,0.0000
10,tour,5,12,100,0.00,10000,109,0,0,9891,1514,-30.480,0.000,1.0000,0.0000
10,scratch,0,12,10,0.30,10000,3464,0,0,6536,1512,-3.048,0.000,1.0000,0.0000
10,scratch,1,3,10,0.30,10000,3390,0,0,6610,1511,0.000,3.048,0.1059,-0.9944
10,scratch,1,6,10,0.30,10000,3178,0,0,6822,1510,3.048,0.000,-1.0000,0.0000
10,scratch,1,12,10,0.30,10000,3702,0,0,6298,1513,-3.048,0.000,1.0000,0.0000
10,scratch,2,3,10,0.30,10000,3237,0,0,6763,1507,0.000,3.048,0.2190,-0.9757
10,scratch,2,6,10,0.30,10000,3120,0,0,6880,1512,3.048,0.000,-1.0000,0.0000
10,scratch,2,12,10,0.30,10000,3968,0,0,6032,1509,-3.048,0.000,1.0000,0.0000
10,scratch,3,3,10,0.30,10000,3045,0,0,6955,1511,0.000,3.048,0.3510,-0.9364
10,scratch,3,6,10,0.30,10000,3089,0,0,6911,1508,3.048,0.000,-1.0000,0.0000
10,scratch,3,12,10,0.30,10000,4355,0,0,5645,1511,-3.048,0.000,1.0000,0.0000
10,scratch,4,3,10,0.40,10000,2815,0,0,7185,1512,0.000,3.048,0.4519,-0.8920
10,scratch,4,6,10,0.30,10000,2881,0,0,7119,1510,3.048,0.000,-1.0000,0.0000
10,scratch,4,12,10,0.30,10000,5071,0,0,4929,1513,-3.048,0.000,1.0000,0.0000
10,scratch,5,3,10,0.40,10000,2425,0,0,7575,1510,0.000,3.048,0.6577,-0.7533
10,scratch,5,6,10,0.30,10000,2737,0,0,7263,1511,3.048,0.000,-1.0000,0.0000
10,scratch,5,12,10,0.30,10000,5978,0,0,4022,1506,-3.048,0.000,1.0000,0.0000
10,scratch,0,12,15,0.30,10000,1907,0,0,8093,1509,-4.572,0.000,1.0000,0.0000
10,scratch,1,3,15,0.30,10000,1815,0,0,8185,1511,0.000,4.572,0.1270,-0.9919
10,scratch,1,6,15,0.40,10000,1791,0,0,8209,1509,4.572,0.000,-1.0000,0.0000
10,scratch,1,12,15,0.30,10000,2006,0,0,7994,1515,-4.572,0.000,1.0000,0.0000
10,scratch,2,3,15,0.30,10000,1791,0,0,8209,1513,0.000,4.572,0.2625,-0.9649
10,scratch,2,6,15,0.40,10000,1741,0,0,8259,1511,4.572,0.000,-1.0000,0.0000
10,scratch,2,12,15,0.40,10000,2322,0,0,7678,1511,-4.572,0.000,1.0000,0.0000
10,scratch,3,3,15,0.40,10000,1770,0,0,8230,1509,0.000,4.572,0.3700,-0.9290
10,scratch,3,6,15,0.40,10000,1593,0,0,8407,1517,4.572,0.000,-1.0000,0.0000
10,scratch,3,12,15,0.30,10000,2519,0,0,7481,1513,-4.572,0.000,1.0000,0.0000
10,scratch,4,3,15,0.30,10000,1533,0,0,8467,1515,0.000,4.572,0.6073,-0.7945
10,scratch,4,6,15,0.40,10000,1576,0,0,8424,1513,4.572,0.000,-1.0000,0.0000
10,scratch,4,12,15,0.40,10000,2981,0,0,7019,1513,-4.572,0.000,1.0000,0.0000
10,scratch,5,3,15,0.30,10000,1443,0,0,8557,1507,0.000,4.572,0.8313,-0.5558
10,scratch,5,6,15,0.30,10000,1454,0,0,8546,1514,4.572,0.000,-1.0000,0.0000
10,scratch,5,12,15,0.40,10000,3670,0,0,6330,1510,-4.572,0.000,1.0000,0.0000
10,scratch,0,12,20,0.20,10000,1123,0,0,8877,1509,-6.096,0.000,1.0000,0.0000
10,scratch,1,3,20,0.30,10000,1159,0,0,8841,1513,0.000,6.096,0.1423,-0.9898
10,scratch,1,6,20,0.30,10000,1058,0,0,8942,1514,6.096,0.000,-1.0000,0.0000
10,scratch,1,12,20,0.20,10000,1118,0,0,8882,1513,-6.096,0.000,1.0000,0.0000
10,scratch,2,3,20,0.30,10000,1087,0,0,8913,1513,0.000,6.096,0.2938,-0.9559
10,scratch,2,6,20,0.30,10000,1025,0,0,8975,1514,6.096,0.000,-1.0000,0.0000
10,scratch,2,12,20,0.20,10000,1238,0,0,8762,1513,-6.096,0.000,1.0000,0.0000
10,scratch,3,3,20,0.20,10000,994,0,0,9006,1508,0.000,6.096,0.5336,-0.8457
10,scratch,3,6,20,0.30,10000,938,0,0,9062,1512,6.096,0.000,-1.0000,0.0000
10,scratch,3,12,20,0.30,10000,1480,0,0,8520,1509,-6.096,0.000,1.0000,0.0000
10,scratch,4,3,20,0.30,10000,1002,0,0,8998,1512,0.000,6.096,0.6686,-0.7437
10,scratch,4,6,20,0.30,10000,903,0,0,9097,1512,6.096,0.000,-1.0000,0.0000
10,scratch,4,12,20,0.30,10000,1822,0,0,8178,1513,-6.096,0.000,1.0000,0.0000
10,scratch,5,3,20,0.30,10000,878,0,0,9122,1511,0.000,6.096,0.8828,-0.4698
10,scratch,5,6,20,0.30,10000,847,0,0,9153,1509,6.096,0.000,-1.0000,0.0000
10,scratch,5,12,20,0.40,10000,2322,0,0,7678,1511,-6.096,0.000,1.0000,0.0000
10,scratch,0,12,30,0.10,10000,466,0,0,9534,1511,-9.144,0.000,1.0000,0.0000
10,scratch,1,3,30,0.10,10000,448,0,0,9552,1513,0.000,9.144,0.2252,-0.9743
10,scratch,1,6,30,0.20,10000,427,0,0,9573,1509,9.144,0.000,-1.0000,0.0000
10,scratch,1,12,30,0.00,10000,474,0,0,9526,1511,-9.144,0.000,1.0000,0.0000
10,scratch,2,3,30,0.10,10000,477,0,0,9523,1510,0.000,9.144,0.4650,-0.8853
10,scratch,2,6,30,0.20,10000,400,0,0,9600,1513,9.144,0.000,-1.0000,0.0000
10,scratch,2,12,30,0.00,10000,509,0,0,9491,1511,-9.144,0.000,1.0000,0.0000
10,scratch,3,3,30,0.00,10000,399,0,0,9601,1515,0.000,9.144,0.9492,-0.3148
10,scratch,3,6,30,0.10,10000,364,0,0,9636,1510,9.144,0.000,-1.0000,0.0000
10,scratch,3,12,30,0.00,10000,574,0,0,9426,1513,-9.144,0.000,1.0000,0.0000
10,scratch,4,3,30,0.10,10000,422,0,0,9578,1510,0.000,9.144,0.8964,-0.4432
10,scratch,4,6,30,0.20,10000,370,0,0,9630,1511,9.144,0.000,-1.0000,0.0000
10,scratch,4,12,30,0.00,10000,703,0,0,9297,1511,-9.144,0.000,1.0000,0.0000
10,scratch,5,3,30,0.00,10000,365,0,0,9635,1511,0.000,9.144,0.9999,-0.0136
10,scratch,5,6,30,0.20,10000,357,0,0,9643,1511,9.144,0.000,-1.0000,0.0000
10,scratch,5,12,30,0.10,10000,978,0,0,9022,1512,-9.144,0.000,1.0000,0.0000
10,scratch,0,12,40,0.00,10000,229,0,0,9771,1508,-12.192,0.000,1.0000,0.0000
10,scratch,1,3,40,0.00,10000,227,0,0,9773,1516,0.000,12.192,0.4218,-0.9067
10,scratch,1,6,40,0.00,10000,226,0,0,9774,1510,12.192,0.000,-1.0000,0.0000
10,scratch,1,12,40,0.00,10000,239,0,0,9761,1507,-12.192,0.000,1.0000,0.0000
10,scratch,2,3,40,0.00,10000,214,0,0,9786,1512,0.000,12.192,0.7600,-0.6499
10,scratch,2,6,40,0.00,10000,195,0,0,9805,1512,12.192,0.000,-1.0000,0.0000
10,scratch,2,12,40,0.00,10000,278,0,0,9722,1515,-12.192,0.000,1.0000,0.0000
10,scratch,3,3,40,0.00,10000,224,0,0,9776,1512,0.000,12.192,0.9569,-0.2904
10,scratch,3,6,40,0.10,10000,189,0,0,9811,1513,12.192,0.000,-1.0000,0.0000
10,scratch,3,12,40,0.00,10000,311,0,0,9689,1510,-12.192,0.000,1.0000,0.0000
10,scratch,4,3,40,0.00,10000,268,0,0,9732,1510,0.000,12.192,0.9964,-0.0850
10,scratch,4,6,40,0.10,10000,177,0,0,9823,1507,12.192,0.000,-1.0000,0.0000
10,scratch,4,12,40,0.00,10000,402,0,0,9598,1513,-12.192,0.000,1.0000,0.0000
10,scratch,5,3,40,0.00,10000,278,0,0,9722,1511,0.000,12.192,0.9999,-0.0106
10,scratch,5,6,40,0.10,10000,163,0,0,9837,1515,12.192,0.000,-1.0000,0.0000
10,scratch,5,12,40,0.00,10000,466,0,0,9534,1509,-12.192,0.000,1.0000,0.0000
10,scratch,0,12,50,0.00,10000,145,0,0,9855,1512,-15.240,0.000,1.0000,0.0000
10,scratch,1,3,50,0.00,10000,148,0,0,9852,1512,0.000,15.240,0.4720,-0.8816
10,scratch,1,6,50,0.00,10000,146,0,0,9854,1513,15.240,0.000,-1.0000,0.0000
10,scratch,1,12,50,0.00,10000,144,0,0,9856,1513,-15.240,0.000,1.0000,0.0000
10,scratch,2,3,50,0.00,10000,172,0,0,9828,1508,0.000,15.240,0.7588,-0.6513
10,scratch,2,6,50,0.00,10000,120,0,0,9880,1512,15.240,0.000,-1.0000,0.0000
10,scratch,2,12,50,0.00,10000,179,0,0,9821,1512,-15.240,0.000,1.0000,0.0000
10,scratch,3,3,50,0.00,10000,167,0,0,9833,1510,0.000,15.240,0.9625,-0.2714
10,scratch,3,6,50,0.10,10000,114,0,0,9886,1511,15.240,0.000,-1.0000,0.0000
10,scratch,3,12,50,0.00,10000,211,0,0,9789,1511,-15.240,0.000,1.0000,0.0000
10,scratch,4,3,50,0.00,10000,158,0,0,9842,1512,0.000,15.240,0.9966,-0.0822
10,scratch,4,6,50,0.10,10000,93,0,0,9907,1513,15.240,0.000,-1.0000,0.0000
10,scratch,4,12,50,0.00,10000,251,0,0,9749,1511,-15.240,0.000,1.0000,0.0000
10,scratch,5,3,50,0.00,10000,199,0,0,9801,1511,0.000,15.240,1.0000,-0.0087
10,scratch,5,6,50,0.10,10000,86,0,0,9914,1511,15.240,0.000,-1.0000,0.0000
10,scratch,5,12,50,0.00,10000,321,0,0,9679,1513,-15.240,0.000,1.0000,0.0000
10,scratch,0,12,60,0.00,10000,91,0,0,9909,1516,-18.288,0.000,1.0000,0.0000
10,scratch,1,3,60,0.00,10000,106,0,0,9894,1511,0.000,18.288,0.4822,-0.8761
10,scratch,1,6,60,0.00,10000,87,0,0,9913,1514,18.288,0.000,-1.0000,0.0000
10,scratch,1,12,60,0.00,10000,92,0,0,9908,1513,-18.288,0.000,1.0000,0.0000
