stimp,skill,slope_deg,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m
8,hcp30,1,3,10,0.20,true,0.13712,0.00385,0.10146,1.96677,0.00464,0.5284,0.4034,0.5048
8,hcp30,1,3,10,0.30,true,0.14588,0.00395,0.11887,1.97608,0.00489,0.5871,0.3435,0.5479
8,hcp30,1,3,10,0.40,true,0.15013,0.00399,0.14399,1.99794,0.00514,0.6584,0.2830,0.6079
8,hcp30,1,3,10,0.50,true,0.14913,0.00398,0.17168,2.02782,0.00533,0.7234,0.2293,0.6724
8,hcp30,1,3,10,0.60,true,0.14750,0.00396,0.20241,2.06164,0.00552,0.7938,0.1824,0.7465
8,hcp30,1,3,10,0.70,true,0.14575,0.00395,0.23387,2.09651,0.00569,0.8685,0.1482,0.8237
8,hcp30,1,3,10,0.80,true,0.14050,0.00389,0.27094,2.14098,0.00583,0.9555,0.1177,0.9150
8,hcp30,1,3,10,0.90,true,0.13212,0.00379,0.30764,2.18844,0.00590,1.0386,0.0929,1.0047
8,hcp30,1,3,10,1.00,true,0.12187,0.00366,0.34521,2.23895,0.00591,1.1219,0.0709,1.0974
8,hcp30,1,3,10,1.10,true,0.11375,0.00355,0.37944,2.28404,0.00591,1.2055,0.0575,1.1856
8,hcp30,1,3,10,1.20,true,0.10625,0.00345,0.41449,2.32969,0.00590,1.2940,0.0450,1.2805
8,hcp30,1,3,15,0.00,true,0.05962,0.00265,0.18647,2.13259,0.00397,0.5289,0.5278,0.6814
8,hcp30,1,3,15,0.10,true,0.06738,0.00280,0.19402,2.13279,0.00418,0.6549,0.4738,0.7000
8,hcp30,1,3,15,0.20,true,0.07325,0.00291,0.20462,2.13813,0.00437,0.7181,0.4307,0.7268
8,hcp30,1,3,15,0.30,true,0.07625,0.00297,0.22067,2.15214,0.00453,0.7856,0.3838,0.7659
8,hcp30,1,3,15,0.40,true,0.07612,0.00297,0.23937,2.17217,0.00465,0.8504,0.3424,0.8104
8,hcp30,1,3,15,0.50,true,0.07625,0.00297,0.26030,2.19441,0.00478,0.9149,0.3035,0.8620
8,hcp30,1,3,15,0.60,true,0.07587,0.00296,0.28225,2.21834,0.00490,0.9804,0.2708,0.9174
8,hcp30,1,3,15,0.70,true,0.07625,0.00297,0.30863,2.24644,0.00505,1.0531,0.2340,0.9872
8,hcp30,1,3,15,0.80,true,0.07400,0.00293,0.33501,2.27727,0.00512,1.1191,0.2010,1.0574
8,hcp30,1,3,15,0.90,true,0.07037,0.00286,0.36231,2.31068,0.00516,1.1911,0.1736,1.1317
8,hcp30,1,3,15,1.00,true,0.06875,0.00283,0.38914,2.34184,0.00523,1.2631,0.1475,1.2105
8,hcp30,1,3,15,1.10,true,0.06475,0.00275,0.41602,2.37564,0.00524,1.3397,0.1284,1.2896
8,hcp30,1,3,15,1.20,true,0.06012,0.00266,0.44189,2.40912,0.00521,1.4134,0.1121,1.3672
8,hcp30,1,3,20,0.00,true,0.03862,0.00215,0.28946,2.26282,0.00407,0.7001,0.5239,0.9152
8,hcp30,1,3,20,0.10,true,0.04088,0.00221,0.29633,2.26792,0.00415,0.8451,0.4823,0.9322
8,hcp30,1,3,20,0.20,true,0.04163,0.00223,0.30610,2.27771,0.00422,0.9082,0.4444,0.9569
8,hcp30,1,3,20,0.30,true,0.04412,0.00230,0.31749,2.28762,0.00434,0.9716,0.4102,0.9892
8,hcp30,1,3,20,0.40,true,0.04450,0.00231,0.33097,2.30199,0.00442,1.0310,0.3759,1.0269
8,hcp30,1,3,20,0.50,true,0.04300,0.00227,0.34642,2.32048,0.00446,1.0930,0.3443,1.0699
8,hcp30,1,3,20,0.60,true,0.04100,0.00222,0.36326,2.34110,0.00449,1.1552,0.3144,1.1177
8,hcp30,1,3,20,0.70,true,0.04075,0.00221,0.38142,2.36154,0.00456,1.2222,0.2872,1.1728
8,hcp30,1,3,20,0.80,true,0.03988,0.00219,0.40039,2.38367,0.00461,1.2889,0.2612,1.2317
8,hcp30,1,3,20,0.90,true,0.03837,0.00215,0.42023,2.40754,0.00465,1.3499,0.2329,1.2947
8,hcp30,1,3,20,1.00,true,0.03750,0.00212,0.43970,2.43052,0.00468,1.4161,0.2104,1.3596
8,hcp30,1,3,20,1.10,true,0.03662,0.00210,0.46063,2.45541,0.00472,1.4962,0.1922,1.4329
8,hcp30,1,3,20,1.20,true,0.03438,0.00204,0.48214,2.48253,0.00472,1.5677,0.1705,1.5089
8,hcp30,1,6,10,0.00,true,0.11100,0.00351,0.07791,1.96842,0.00409,0.4144,0.5591,0.4527
8,hcp30,1,6,10,0.10,true,0.12425,0.00369,0.08215,1.95966,0.00431,0.4675,0.4790,0.4722
8,hcp30,1,6,10,0.20,true,0.13525,0.00382,0.09252,1.95949,0.00454,0.5231,0.4013,0.5066
8,hcp30,1,6,10,0.30,true,0.13987,0.00388,0.10863,1.97165,0.00473,0.5832,0.3299,0.5535
8,hcp30,1,6,10,0.40,true,0.14100,0.00389,0.12957,1.99240,0.00491,0.6493,0.2678,0.6122
8,hcp30,1,6,10,0.50,true,0.13700,0.00384,0.15509,2.02313,0.00504,0.7256,0.2222,0.6792
8,hcp30,1,6,10,0.60,true,0.13500,0.00382,0.18326,2.05476,0.00521,0.7990,0.1799,0.7529
8,hcp30,1,6,10,0.70,true,0.12962,0.00376,0.21526,2.09391,0.00533,0.8769,0.1438,0.8338
8,hcp30,1,6,10,0.80,true,0.12350,0.00368,0.24885,2.13571,0.00544,0.9589,0.1157,0.9191
8,hcp30,1,6,10,0.90,true,0.11425,0.00356,0.28500,2.18353,0.00547,1.0448,0.0924,1.0094
8,hcp30,1,6,10,1.00,true,0.10512,0.00343,0.32121,2.23153,0.00548,1.1336,0.0758,1.1010
8,hcp30,1,6,10,1.10,true,0.09913,0.00334,0.35625,2.27548,0.00551,1.2218,0.0601,1.1955
8,hcp30,1,6,10,1.20,true,0.08975,0.00320,0.39026,2.32193,0.00545,1.3089,0.0501,1.2855
8,hcp30,1,6,15,0.00,true,0.05850,0.00262,0.18218,2.12891,0.00392,0.6283,0.5187,0.6856
8,hcp30,1,6,15,0.10,true,0.06388,0.00273,0.18835,2.13023,0.00406,0.6841,0.4682,0.7073
8,hcp30,1,6,15,0.20,true,0.06800,0.00281,0.19857,2.13710,0.00421,0.7383,0.4162,0.7384
8,hcp30,1,6,15,0.30,true,0.06825,0.00282,0.21309,2.15243,0.00431,0.7948,0.3657,0.7780
8,hcp30,1,6,15,0.40,true,0.06888,0.00283,0.23039,2.17039,0.00443,0.8630,0.3270,0.8257
8,hcp30,1,6,15,0.50,true,0.06638,0.00278,0.25020,2.19426,0.00450,0.9272,0.2880,0.8785
8,hcp30,1,6,15,0.60,true,0.06600,0.00278,0.27185,2.21809,0.00462,0.9933,0.2512,0.9393
8,hcp30,1,6,15,0.70,true,0.06263,0.00271,0.29637,2.24810,0.00467,1.0626,0.2170,1.0068
8,hcp30,1,6,15,0.80,true,0.05937,0.00264,0.32113,2.27842,0.00472,1.1314,0.1874,1.0764
8,hcp30,1,6,15,0.90,true,0.05638,0.00258,0.34672,2.30954,0.00476,1.2062,0.1636,1.1505
8,hcp30,1,6,15,1.00,true,0.05375,0.00252,0.37344,2.34173,0.00480,1.2855,0.1424,1.2306
8,hcp30,1,6,15,1.10,true,0.05125,0.00247,0.39888,2.37261,0.00483,1.3641,0.1253,1.3099
8,hcp30,1,6,15,1.20,true,0.04688,0.00236,0.42574,2.40707,0.00479,1.4414,0.1073,1.3933
8,hcp30,1,6,20,0.00,true,0.03363,0.00202,0.28557,2.26338,0.00391,0.8321,0.5156,0.9207
8,hcp30,1,6,20,0.10,true,0.03413,0.00203,0.29008,2.26805,0.00395,0.8862,0.4787,0.9385
8,hcp30,1,6,20,0.20,true,0.03537,0.00207,0.29725,2.27489,0.00402,0.9375,0.4394,0.9643
8,hcp30,1,6,20,0.30,true,0.03575,0.00208,0.30732,2.28577,0.00408,0.9926,0.4020,0.9975
8,hcp30,1,6,20,0.40,true,0.03687,0.00211,0.31932,2.29806,0.00417,1.0483,0.3652,1.0374
8,hcp30,1,6,20,0.50,true,0.03762,0.00213,0.33300,2.31263,0.00426,1.1140,0.3355,1.0831
8,hcp30,1,6,20,0.60,true,0.03537,0.00207,0.34869,2.33249,0.00428,1.1754,0.3050,1.1325
8,hcp30,1,6,20,0.70,true,0.03513,0.00206,0.36546,2.35165,0.00435,1.2370,0.2749,1.1885
8,hcp30,1,6,20,0.80,true,0.03500,0.00205,0.38322,2.37191,0.00442,1.3029,0.2477,1.2496
8,hcp30,1,6,20,0.90,true,0.03288,0.00199,0.40221,2.39565,0.00444,1.3751,0.2259,1.3134
8,hcp30,1,6,20,1.00,true,0.03125,0.00195,0.42128,2.41909,0.00445,1.4427,0.2040,1.3797
8,hcp30,1,6,20,1.10,true,0.03062,0.00193,0.44144,2.44295,0.00449,1.5093,0.1795,1.4531
8,hcp30,1,6,20,1.20,true,0.02800,0.00184,0.46148,2.46878,0.00447,1.5800,0.1613,1.5251
8,hcp30,2,12,10,0.00,true,0.15837,0.00408,0.06374,1.90661,0.00459,0.4106,0.5776,0.4341
8,hcp30,2,12,10,0.10,true,0.18025,0.00430,0.07431,1.89542,0.00493,0.4662,0.5000,0.4531
8,hcp30,2,12,10,0.20,true,0.19062,0.00439,0.09099,1.90202,0.00518,0.5250,0.4232,0.4846
8,hcp30,2,12,10,0.30,true,0.20175,0.00449,0.11257,1.91293,0.00548,0.5904,0.3533,0.5317
8,hcp30,2,12,10,0.40,true,0.20438,0.00451,0.13926,1.93765,0.00573,0.6570,0.2885,0.5893
8,hcp30,2,12,10,0.50,true,0.20788,0.00454,0.16828,1.96401,0.00600,0.7302,0.2369,0.6571
8,hcp30,2,12,10,0.60,true,0.21238,0.00457,0.19942,1.99168,0.00627,0.8005,0.1844,0.7352
8,hcp30,2,12,10,0.70,true,0.21200,0.00457,0.23302,2.02695,0.00650,0.8832,0.1488,0.8196
8,hcp30,2,12,10,0.80,true,0.20788,0.00454,0.26602,2.06554,0.00668,0.9641,0.1221,0.9028
8,hcp30,2,12,10,0.90,true,0.20262,0.00449,0.29917,2.10562,0.00682,1.0412,0.0959,0.9888
8,hcp30,2,12,10,1.00,true,0.19825,0.00446,0.33346,2.14629,0.00696,1.1288,0.0755,1.0835
8,hcp30,2,12,10,1.10,true,0.19425,0.00442,0.36680,2.18593,0.00709,1.2176,0.0579,1.1812
8,hcp30,2,12,10,1.20,true,0.18713,0.00436,0.40008,2.22897,0.00717,1.3102,0.0457,1.2797
8,hcp30,2,12,15,0.00,true,0.09525,0.00328,0.16071,2.07019,0.00450,0.6249,0.5474,0.6606
8,hcp30,2,12,15,0.10,true,0.10063,0.00336,0.17099,2.07530,0.00467,0.6728,0.4941,0.6767
8,hcp30,2,12,15,0.20,true,0.10600,0.00344,0.18555,2.08492,0.00487,0.7283,0.4410,0.7048
8,hcp30,2,12,15,0.30,true,0.11163,0.00352,0.20312,2.09753,0.00508,0.7853,0.3893,0.7426
8,hcp30,2,12,15,0.40,true,0.11250,0.00353,0.22368,2.11811,0.00524,0.8510,0.3472,0.7869
8,hcp30,2,12,15,0.50,true,0.11363,0.00355,0.24603,2.14045,0.00541,0.9167,0.3084,0.8381
