stimp,skill,slope_deg,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m
8,mid,0,12,20,0.50,true,0.06588,0.00277,0.08618,2.02037,0.00329,0.6540,0.1701,0.7087
8,mid,0,12,20,0.60,true,0.06563,0.00277,0.10705,2.04152,0.00340,0.7213,0.1235,0.7799
8,mid,0,12,20,0.70,true,0.06400,0.00274,0.13090,2.06704,0.00350,0.7965,0.0897,0.8573
8,mid,0,12,20,0.80,true,0.06212,0.00270,0.15730,2.09536,0.00358,0.8767,0.0637,0.9405
8,mid,0,12,20,0.90,true,0.06012,0.00266,0.18566,2.12578,0.00366,0.9599,0.0436,1.0275
8,mid,0,12,20,1.00,true,0.05538,0.00256,0.21618,2.16113,0.00367,1.0459,0.0282,1.1172
8,mid,0,12,20,1.10,true,0.05162,0.00247,0.24789,2.19668,0.00369,1.1375,0.0191,1.2097
8,mid,0,12,20,1.20,true,0.04537,0.00233,0.28076,2.23590,0.00363,1.2296,0.0122,1.3028
8,high,0,12,10,0.00,true,0.14988,0.00399,0.00422,1.85434,0.00401,0.2102,0.5726,0.2666
8,high,0,12,10,0.10,true,0.17688,0.00427,0.00611,1.82924,0.00430,0.2564,0.4112,0.2862
8,high,0,12,10,0.20,true,0.19462,0.00443,0.01118,1.81657,0.00450,0.3118,0.2711,0.3304
8,high,0,12,10,0.30,true,0.19875,0.00446,0.02031,1.82159,0.00460,0.3777,0.1682,0.3931
8,high,0,12,10,0.40,true,0.19762,0.00445,0.03439,1.83682,0.00469,0.4548,0.1030,0.4695
8,high,0,12,10,0.50,true,0.19187,0.00440,0.05402,1.86223,0.00478,0.5360,0.0574,0.5548
8,high,0,12,10,0.60,true,0.18188,0.00431,0.07926,1.89752,0.00485,0.6239,0.0310,0.6458
8,high,0,12,10,0.70,true,0.17075,0.00421,0.10982,1.93928,0.00492,0.7166,0.0161,0.7408
8,high,0,12,10,0.80,true,0.15850,0.00408,0.14404,1.98585,0.00497,0.8119,0.0091,0.8365
8,high,0,12,10,0.90,true,0.14613,0.00395,0.18158,2.03589,0.00500,0.9090,0.0041,0.9346
8,high,0,12,10,1.00,true,0.13275,0.00379,0.22111,2.08897,0.00500,1.0074,0.0020,1.0328
8,high,0,12,10,1.10,true,0.12100,0.00365,0.26135,2.14117,0.00498,1.1073,0.0016,1.1317
8,high,0,12,10,1.20,true,0.11050,0.00351,0.30169,2.19226,0.00496,1.2074,0.0008,1.2316
8,high,0,12,15,0.00,true,0.07000,0.00285,0.02678,1.95681,0.00300,0.3078,0.5406,0.4175
8,high,0,12,15,0.10,true,0.08113,0.00305,0.03062,1.94954,0.00322,0.3574,0.4436,0.4342
8,high,0,12,15,0.20,true,0.09087,0.00321,0.03898,1.94816,0.00344,0.4077,0.3457,0.4680
8,high,0,12,15,0.30,true,0.09425,0.00327,0.05197,1.95781,0.00358,0.4650,0.2641,0.5142
8,high,0,12,15,0.40,true,0.09675,0.00331,0.06961,1.97299,0.00373,0.5304,0.1985,0.5734
8,high,0,12,15,0.50,true,0.09688,0.00331,0.09172,1.99503,0.00387,0.5991,0.1419,0.6432
8,high,0,12,15,0.60,true,0.09413,0.00326,0.11796,2.02410,0.00397,0.6747,0.1006,0.7205
8,high,0,12,15,0.70,true,0.08975,0.00320,0.14777,2.05839,0.00406,0.7527,0.0666,0.8037
8,high,0,12,15,0.80,true,0.08525,0.00312,0.18035,2.09560,0.00413,0.8374,0.0444,0.8915
8,high,0,12,15,0.90,true,0.07900,0.00302,0.21469,2.13636,0.00416,0.9260,0.0311,0.9807
8,high,0,12,15,1.00,true,0.07312,0.00291,0.25082,2.17856,0.00418,1.0153,0.0186,1.0738
8,high,0,12,15,1.10,true,0.06613,0.00278,0.28805,2.22304,0.00415,1.1101,0.0128,1.1684
8,high,0,12,15,1.20,true,0.06087,0.00267,0.32512,2.26565,0.00413,1.2048,0.0077,1.2644
8,high,0,12,20,0.00,true,0.03575,0.00208,0.07851,2.04290,0.00254,0.4145,0.5254,0.5919
8,high,0,12,20,0.10,true,0.04000,0.00219,0.08441,2.04456,0.00269,0.4574,0.4449,0.6100
8,high,0,12,20,0.20,true,0.04312,0.00227,0.09484,2.05191,0.00284,0.5069,0.3718,0.6398
8,high,0,12,20,0.30,true,0.04713,0.00237,0.10935,2.06247,0.00303,0.5617,0.3055,0.6818
8,high,0,12,20,0.40,true,0.04825,0.00240,0.12780,2.07987,0.00317,0.6188,0.2447,0.7328
8,high,0,12,20,0.50,true,0.04688,0.00236,0.14962,2.10316,0.00326,0.6830,0.1963,0.7910
8,high,0,12,20,0.60,true,0.04788,0.00239,0.17453,2.12719,0.00341,0.7516,0.1540,0.8587
8,high,0,12,20,0.70,true,0.04763,0.00238,0.20206,2.15513,0.00353,0.8196,0.1142,0.9320
8,high,0,12,20,0.80,true,0.04437,0.00230,0.23222,2.18872,0.00357,0.8969,0.0869,1.0100
8,high,0,12,20,0.90,true,0.04238,0.00225,0.26380,2.22251,0.00362,0.9764,0.0636,1.0931
8,high,0,12,20,1.00,true,0.04088,0.00221,0.29622,2.25668,0.00368,1.0593,0.0456,1.1794
8,high,0,12,20,1.10,true,0.03775,0.00213,0.32935,2.29324,0.00367,1.1442,0.0317,1.2675
8,high,0,12,20,1.20,true,0.03513,0.00206,0.36252,2.32938,0.00366,1.2346,0.0231,1.3583
8,tour,1,12,10,0.00,true,0.29875,0.00512,0.00007,1.70132,0.00512,0.1619,0.6394,0.1955
8,tour,1,12,10,0.10,true,0.36975,0.00540,0.00021,1.63046,0.00540,0.2128,0.4377,0.2111
8,tour,1,12,10,0.20,true,0.41500,0.00551,0.00066,1.58566,0.00552,0.2760,0.2519,0.2640
8,tour,1,12,10,0.30,true,0.42488,0.00553,0.00180,1.57693,0.00554,0.3484,0.1245,0.3402
8,tour,1,12,10,0.40,true,0.42125,0.00552,0.00423,1.58298,0.00556,0.4316,0.0523,0.4314
8,tour,1,12,10,0.50,true,0.40687,0.00549,0.00868,1.60180,0.00558,0.5224,0.0215,0.5265
8,tour,1,12,10,0.60,true,0.39113,0.00546,0.01594,1.62482,0.00561,0.6182,0.0090,0.6243
8,tour,1,12,10,0.70,true,0.37500,0.00541,0.02695,1.65195,0.00566,0.7180,0.0032,0.7253
8,tour,1,12,10,0.80,true,0.35450,0.00535,0.04228,1.68778,0.00572,0.8214,0.0015,0.8284
8,tour,1,12,10,0.90,true,0.33613,0.00528,0.06017,1.72404,0.00580,0.9189,0.0008,0.9256
8,tour,1,12,10,1.00,true,0.31900,0.00521,0.08147,1.76247,0.00588,1.0200,0.0004,1.0263
8,tour,1,12,10,1.10,true,0.30100,0.00513,0.10548,1.80448,0.00595,1.1214,0.0000,1.1276
8,tour,1,12,10,1.20,true,0.28413,0.00504,0.13105,1.84693,0.00603,1.2211,0.0000,1.2270
8,tour,1,12,15,0.00,true,0.17525,0.00425,0.00090,1.82565,0.00426,0.2441,0.5911,0.2803
8,tour,1,12,15,0.10,true,0.20888,0.00454,0.00161,1.79273,0.00456,0.2854,0.4462,0.2939
8,tour,1,12,15,0.20,true,0.23275,0.00472,0.00323,1.77048,0.00475,0.3399,0.3154,0.3321
8,tour,1,12,15,0.30,true,0.24650,0.00482,0.00627,1.75977,0.00486,0.4050,0.2125,0.3906
8,tour,1,12,15,0.40,true,0.25050,0.00484,0.01113,1.76063,0.00493,0.4735,0.1306,0.4635
8,tour,1,12,15,0.50,true,0.24963,0.00484,0.01854,1.76892,0.00498,0.5519,0.0753,0.5484
8,tour,1,12,15,0.60,true,0.24425,0.00480,0.02889,1.78464,0.00502,0.6378,0.0413,0.6403
8,tour,1,12,15,0.70,true,0.23663,0.00475,0.04188,1.80525,0.00506,0.7265,0.0231,0.7326
8,tour,1,12,15,0.80,true,0.22200,0.00465,0.05875,1.83675,0.00506,0.8215,0.0132,0.8293
8,tour,1,12,15,0.90,true,0.21263,0.00457,0.07837,1.86574,0.00511,0.9185,0.0068,0.9281
8,tour,1,12,15,1.00,true,0.20338,0.00450,0.10057,1.89720,0.00517,1.0163,0.0039,1.0264
8,tour,1,12,15,1.10,true,0.19200,0.00440,0.12473,1.93274,0.00520,1.1124,0.0020,1.1230
8,tour,1,12,15,1.20,true,0.18063,0.00430,0.15381,1.97319,0.00524,1.2206,0.0003,1.2318
8,tour,1,12,20,0.00,true,0.12037,0.00364,0.00438,1.88401,0.00366,0.3158,0.5654,0.3691
8,tour,1,12,20,0.10,true,0.14125,0.00389,0.00594,1.86469,0.00393,0.3580,0.4563,0.3824
8,tour,1,12,20,0.20,true,0.15463,0.00404,0.00902,1.85440,0.00410,0.4079,0.3535,0.4133
8,tour,1,12,20,0.30,true,0.16475,0.00415,0.01380,1.84905,0.00424,0.4688,0.2707,0.4607
8,tour,1,12,20,0.40,true,0.16800,0.00418,0.02072,1.85272,0.00432,0.5316,0.1965,0.5211
8,tour,1,12,20,0.50,true,0.16862,0.00419,0.02999,1.86137,0.00438,0.6004,0.1373,0.5927
8,tour,1,12,20,0.60,true,0.16662,0.00417,0.04207,1.87545,0.00444,0.6779,0.0942,0.6739
8,tour,1,12,20,0.70,true,0.16025,0.00410,0.05695,1.89670,0.00447,0.7584,0.0621,0.7597
8,tour,1,12,20,0.80,true,0.15475,0.00404,0.07407,1.91932,0.00452,0.8434,0.0416,0.8484
8,tour,1,12,20,0.90,true,0.14875,0.00398,0.09505,1.94631,0.00457,0.9373,0.0263,0.9463
8,tour,1,12,20,1.00,true,0.14263,0.00391,0.11738,1.97476,0.00462,1.0308,0.0185,1.0408
8,tour,1,12,20,1.10,true,0.13300,0.00380,0.14370,2.01071,0.00463,1.1321,0.0131,1.1426
8,tour,1,12,20,1.20,true,0.12625,0.00371,0.16993,2.04370,0.00466,1.2273,0.0077,1.2406
8,tour,1,3,10,0.00,true,0.23738,0.00476,0.00007,1.76269,0.00476,0.1440,0.6238,0.1989
8,tour,1,3,10,0.10,true,0.32262,0.00523,0.00016,1.67753,0.00523,0.2152,0.4161,0.2176
8,tour,1,3,10,0.20,true,0.36062,0.00537,0.00053,1.63991,0.00537,0.2771,0.2248,0.2731
8,tour,1,3,10,0.30,true,0.37100,0.00540,0.00143,1.63043,0.00541,0.3407,0.1174,0.3404
8,tour,1,3,10,0.40,true,0.36975,0.00540,0.00360,1.63385,0.00543,0.4243,0.0474,0.4313
8,tour,1,3,10,0.50,true,0.35763,0.00536,0.00754,1.64991,0.00542,0.5148,0.0175,0.5260
8,tour,1,3,10,0.60,true,0.34100,0.00530,0.01417,1.67317,0.00542,0.6105,0.0057,0.6235
8,tour,1,3,10,0.70,true,0.32300,0.00523,0.02345,1.70045,0.00542,0.7051,0.0024,0.7178
8,tour,1,3,10,0.80,true,0.30488,0.00515,0.03720,1.73233,0.00544,0.8096,0.0009,0.8220
8,tour,1,3,10,0.90,true,0.28850,0.00507,0.05436,1.76586,0.00549,0.9114,0.0004,0.9236
8,tour,1,3,10,1.00,true,0.26925,0.00496,0.07572,1.80647,0.00552,1.0144,0.0002,1.0262
8,tour,1,3,10,1.10,true,0.25100,0.00485,0.09825,1.84725,0.00554,1.1080,0.0000,1.1199
8,tour,1,3,10,1.20,true,0.23337,0.00473,0.12463,1.89126,0.00557,1.2086,0.0000,1.2204
8,tour,1,3,15,0.00,true,0.14900,0.00398,0.00116,1.85216,0.00399,0.2143,0.5621,0.2928
8,tour,1,3,15,0.10,true,0.17888,0.00428,0.00162,1.82275,0.00429,0.2903,0.4314,0.3086
8,tour,1,3,15,0.20,true,0.19825,0.00446,0.00283,1.80458,0.00447,0.3470,0.3254,0.3436
8,tour,1,3,15,0.30,true,0.21588,0.00460,0.00563,1.78976,0.00464,0.4089,0.2076,0.4053
8,tour,1,3,15,0.40,true,0.22300,0.00465,0.01007,1.78707,0.00472,0.4788,0.1298,0.4783
8,tour,1,3,15,0.50,true,0.22100,0.00464,0.01672,1.79572,0.00475,0.5553,0.0772,0.5602
8,tour,1,3,15,0.60,true,0.21225,0.00457,0.02539,1.81314,0.00474,0.6315,0.0436,0.6421
8,tour,1,3,15,0.70,true,0.20100,0.00448,0.03883,1.83783,0.00474,0.7300,0.0253,0.7425
8,tour,1,3,15,0.80,true,0.18887,0.00438,0.05405,1.86517,0.00473,0.8195,0.0148,0.8342
8,tour,1,3,15,0.90,true,0.17675,0.00426,0.07266,1.89591,0.00472,0.9125,0.0082,0.9288
8,tour,1,3,15,1.00,true,0.16675,0.00417,0.09447,1.92772,0.00474,1.0098,0.0038,1.0277
8,tour,1,3,15,1.10,true,0.15637,0.00406,0.11915,1.96278,0.00476,1.1104,0.0022,1.1282
