stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,scratch,0,12,15,0.80,true,0.17800,0.00428,0.06187,1.88388,0.00468,0.8237,0.0187,0.8406,0.06331,0.00281
10,scratch,0,12,15,0.90,true,0.16650,0.00416,0.08203,1.91554,0.00468,0.9186,0.0111,0.9365,0.09497,0.00311
10,scratch,0,12,15,1.00,true,0.15975,0.00410,0.10448,1.94474,0.00474,1.0141,0.0058,1.0334,0.12417,0.00329
10,scratch,0,12,15,1.10,true,0.15413,0.00404,0.12956,1.97546,0.00481,1.1134,0.0031,1.1330,0.15489,0.00350
10,scratch,0,12,15,1.20,true,0.14550,0.00394,0.15727,2.01181,0.00485,1.2140,0.0018,1.2332,0.19124,0.00374
10,scratch,0,12,20,0.00,true,0.09062,0.00321,0.00826,1.91764,0.00325,0.3423,0.5395,0.4259,0.01408,0.00262
10,scratch,0,12,20,0.10,true,0.10038,0.00336,0.00958,1.90921,0.00341,0.3880,0.4460,0.4395,0.00564,0.00216
10,scratch,0,12,20,0.20,true,0.10775,0.00347,0.01280,1.90505,0.00354,0.4389,0.3586,0.4687,0.00149,0.00155
10,scratch,0,12,20,0.30,true,0.11450,0.00356,0.01806,1.90356,0.00366,0.4951,0.2789,0.5127,0.00000,0.00000
10,scratch,0,12,20,0.40,true,0.12000,0.00363,0.02571,1.90571,0.00379,0.5591,0.2126,0.5699,0.00215,0.00148
10,scratch,0,12,20,0.50,true,0.12087,0.00364,0.03589,1.91502,0.00386,0.6262,0.1571,0.6361,0.01145,0.00196
10,scratch,0,12,20,0.60,true,0.12037,0.00364,0.04866,1.92829,0.00393,0.6965,0.1097,0.7112,0.02472,0.00236
10,scratch,0,12,20,0.70,true,0.11962,0.00363,0.06425,1.94463,0.00402,0.7775,0.0788,0.7938,0.04107,0.00266
10,scratch,0,12,20,0.80,true,0.11663,0.00359,0.08271,1.96610,0.00409,0.8606,0.0532,0.8818,0.06253,0.00293
10,scratch,0,12,20,0.90,true,0.11100,0.00351,0.10396,1.99298,0.00412,0.9492,0.0364,0.9733,0.08942,0.00320
10,scratch,0,12,20,1.00,true,0.10562,0.00344,0.12702,2.02142,0.00416,1.0383,0.0240,1.0657,0.11786,0.00339
10,scratch,0,12,20,1.10,true,0.09963,0.00335,0.15213,2.05255,0.00419,1.1310,0.0162,1.1600,0.14899,0.00356
10,scratch,0,12,20,1.20,true,0.09438,0.00327,0.17889,2.08457,0.00422,1.2264,0.0113,1.2562,0.18101,0.00373
10,mid,0,12,10,0.00,true,0.18413,0.00433,0.00085,1.81673,0.00434,0.1887,0.5779,0.2368,0.07001,0.00410
10,mid,0,12,10,0.10,true,0.22387,0.00466,0.00130,1.77742,0.00467,0.2373,0.4055,0.2558,0.03071,0.00331
10,mid,0,12,10,0.20,true,0.25212,0.00485,0.00305,1.75093,0.00488,0.2978,0.2544,0.3045,0.00421,0.00227
10,mid,0,12,10,0.30,true,0.26025,0.00491,0.00696,1.74672,0.00496,0.3673,0.1462,0.3729,0.00000,0.00000
